__label__positive , 蒙牛 很 牛
__label__positive , 喝 过 伊利 还是 蒙牛 的 有理 牛奶 就 是 香蕉 味 的  宾格瑞香蕉 味儿 牛奶 老好喝 了
__label__positive , 蒙牛 也 出 香蕉 奶 了 味道 还 不错 就 是 太 贵 了 喝 不起 啊
__label__positive , 我 发现 蒙牛 新 出 的 奶特 不错 上面 那 句 浪漫 从 遇见 开始
__label__negative , 我 不是 蒙牛 没你 想象 那么 纯  要 不要 这么 讽刺 啊 蒙牛 好 尴尬
__label__negative , 蒙牛 又 出来 丢 人 了
__label__negative , 珍爱 生命 远离 蒙牛
__label__negative , 蒙牛 早餐 奶居 难 喝
__label__negative , 转  珍惜 生命 远离 蒙牛
__label__negative , 蒙牛 人 多 的 可怕
__label__negative , 蒙牛 你 的 燕麦 牛奶 太 难 喝 了 我 自己 拿 燕麦 牛奶 泡 在 一起 都 比 你 的 好喝
__label__negative , 以前 我 请 你 喝 蒙牛 现在 我 请 你 吃肯 德基 和 蒙牛 不信 你 还 不死 
__label__negative , 蒙牛 要 治 癌 达芬奇 要 造假 金山 要 泄密 西门子 啥子 呢 忘 了  号 称 四 毒
__label__negative , 蒙牛 太 恶心 了 吧 那个 生产 的 图 绝对 不是 p 的 什么 叫 内容 不实 啊
__label__negative , 全球 都 在 步 调 一致 的 限奶 出口 给 内地  蒙牛 伊利 他们 不觉得 耻辱么 
__label__negative , 蒙牛 加工厂 还 敢 再 恶心点 吗 分享 自 
__label__negative , 好 在 一直 不吃 蒙牛
__label__negative , 蒙牛 啊  快 倒闭 吧
__label__negative , 不喝 蒙牛 很多 年
__label__negative , 环保 装管 毛用  没用 的 只要 看到 蒙牛 两 个 字 我 就 不会 买
__label__negative , 不喝 蒙牛 好 多年
__label__negative , 很 早 就 不喝 蒙 牛 了
__label__negative , 真是 不明白  都 这样 了 还 有人 喝 蒙牛 不喝 牛奶 会 死呀 
__label__negative , 早就 不喝 蒙 牛 了
__label__negative , 要 想 活 到 九十九 香烟 请 您 别 离手  活 的 要是 很 无奈 多 喝 蒙 牛少吃菜
__label__negative , 坚决 抵制 垃圾 蒙牛
__label__negative , 好久 不买 蒙 牛 了
__label__negative , 从来 不喝 蒙 牛伊利
__label__negative , 别 喝 蒙 牛  让 倒闭
__label__negative , 擦 垃圾 蒙牛 啊 
__label__negative , 蒙牛 喝 到 想 吐 向 脑 残 级别 不断 发展 处理 家里 的 垃圾 一直 是 我 的 专职
__label__negative , 不喝 蒙牛 就 行 了
__label__negative , 我 已经 不买 蒙 牛 了
__label__negative , 蒙牛 新 包装 换 汤 不换药 不想 肾 结石 不想 胃癌 珍爱 自己 远离 蒙牛
__label__negative , 蒙牛 真 让 人 失望
__label__negative , 还是 因为 国家 食品 安全 规范 力度 不够 管理 力度 也 不够 我 就 一直 奇怪  蒙牛 这样 的 企业 竟然 还 一直 存在 没把 全 中国 人毒 死  他们 是 不会 罢休 的
__label__negative , 亲子 班发 的 牛奶 可能 知道 自己 名声 臭 吧 蒙牛 的 标志 藏 在 很 小 的 接缝 里
__label__negative , 珍惜 生命 远离 蒙牛
__label__negative , 又 是 蒙牛 这 垃圾
__label__negative , 好久 都 不喝 蒙 牛 了
__label__negative , 蒙牛 在 毒害 下 一代
__label__negative , 对 蒙牛 彻底 失望
__label__negative , 再 也 不买 蒙 牛 了
__label__negative , 蒙牛 猛劲 吹 牛 
__label__negative , 蒙牛 又 要 中 枪 了
__label__negative , 打娘 胎 出来 就 没脸 的 哪里 捡 有 脸 好 要 一 没脸 的 东西 发出 的 响声 啥 玩 意 啊 我 日 蒙牛 你 是 真 不要 脸 到 家 了  正 能量 我 靠 你 也 好意思 说 正 能量
__label__negative , 每次 喝牛奶 时 总会 觉得 特憋 屈  虽然 我 可以 选择 抵制 蒙牛 可 我 做 不到 抵制 牛奶 我 喝 下 的 究竟 掺杂 了 多少 我 所 不知 的 东西 我 竟 连 一 杯 牛奶 也 要 喝 的 战战 兢兢 
__label__negative , 反正 我 不喝 蒙牛
__label__negative , 与 一 位 曾 参与 蒙牛 创业 的 元老 聊天  他 认为 蒙 牛卖 给 中粮  对 蒙牛 企业 来说 是 一 种 悲哀 和 投 靠 对 牛 老板 来说 是 一 种 解脱 对 蒙牛 的 员工 来说 是 一 种 悲凉 和 悲惨 
__label__negative , 白酒 都 有 塑化剂 吗 因为 现在 的 人大代表 是 白酒 喝 多 了 还是 蒙牛 喝 多 了 怎么 说话 都 不像 正常 人 的 这样 的 人 还 不是 少数 真是 千 年 等 一 肥
__label__negative , 谁 让 人家 有 中 粮 这样 的 干爹 呢  蒙牛 为什么 就 这么 牛  蒙牛 屡次 出 问题 不见 监管部门 处罚 不见 蒙牛 道歉 广告 满天飞 蒙牛 为什么 就 这么 牛 
__label__negative , 抵制 日货 抵制 蒙牛 基因 坏 了 怎么 救 都 是 钱 打 水漂 无 可 救 药  坚决 终身 抵制 蒙牛 伪造 成 国际 品牌 的  澳 优  奶粉 牛奶 及 一切 这 俩 个 牌子 的 产品
__label__negative , 蒙牛 特仑苏 是 不是 有 问题 每 喝 一 次 都 拉 肚子 其他 牌子 牛奶 喝 了 就 没事
__label__negative , 不买 蒙牛 很多 月  连飞 机餐 的 蒙牛 都 不喝 了 中国 人 的 无限 宽容 纵容 了 蒙 牛错 的 越来越 远  屡次 原谅 助长 了 蒙牛 犯错 的 胆量 这 就 是 常 说 的 那种 虚心 接受 屡教 不改 
__label__negative , 蒙牛 已经 不是 第一 次 出 问题 了 个人 永远 抵制 这种 无良 企业 的 所有 产品
__label__negative , 蒙牛 的 优益 c 太 坑爹 了  淡 的 跟 水 一样 还 好 意思 卖 块 钱  再 也 不买 了
__label__negative , 我 连伊利 的 都 不买 了 回复 大陆 肯定 是 没有 了 好 恐怖 啊  还有 什么 让 人 放心 的 品牌 吗  以后 坚决 不买 蒙牛 傻  怎么 还有 人 买 蒙牛 蒙牛 需要 倒闭
__label__negative , 让 我 给 转 乱 了  都 转  是 转 蒙牛 倒闭 呢 还是 转 吃 黑 巧克力 呢 转  转 到 蒙牛 倒闭  说 蒙牛 呢 快 倒闭 吧
__label__negative , 蒙牛 打 的 是 擦边球 不用 愤怒 抵制 蒙牛 自我 做 起  因为 消费者 贱 无 良 企业 一直 在 断奶 了 大家 都 不消费 不倒闭 才怪 我家 从不 买 蒙牛 的 任何 产品 如此 无良 企业 早 该 永久 关闭 为何 蒙牛 敢  国 有化 了 啊 
__label__negative , 抵制 到底 还有 这 事 必须 抵制 蒙牛 三元 吧 回复 我 错 了 我 真错 了 我 改  居然 还有 人 在 喝 蒙牛 老人 不上网 不知道 蒙牛 不能 喝 你 上网 居然 还 让 父母 喝  就 是 你 不对 了
__label__negative , 看 起来 还是 赣州 蒙牛 分公司 出品 这 让 我 等 喝 不起 国外 牛奶 的 赣州 小市 民情 何以 堪 看来 蒙牛 奶 不敢 喝 了 太伟 大 了
__label__negative , 产品 是 不分 国籍 的  物 美价廉 为 第一 标准 比起 日货 更 应该 被 抵制 的 是 有毒 有害 产品 和 假冒伪劣 产品 三 鹿 和 蒙牛 损害 那么 多 人 的 健康 不更 应该 被 抵制 吗
__label__negative , 悲催 的 幼儿 牛奶 未来 星  蒙牛 都 不愿 承认 是 自己 的 产品 好 小 的 蒙牛
__label__negative , 我 日  蒙牛 你 是 真 不要 脸 到 家 了  正 能量 我 靠 你 也 好意思 说 正 能量
__label__negative , 你 说 丁俊晖 这 几 年 打球 水平 一般 般 是 不是 因为 喝 多 了 蒙牛 的 缘故
__label__negative , 刚 发 的 牛奶 才 放 了 一 天 就 发育 成 这 模样 抵制 蒙牛 抵制 外资 企业
__label__negative , 专门 在 西丽 搬牛奶 回去 原谅 我 近期 懒 得 去 海岸 也 原谅 我 抵制 蒙牛 伊利
__label__negative , 六六 我 又 来 帮 你 维权 了  蒙牛 高 钙 奶 继续 变质 称 是 工作 人员 疏忽 
__label__negative , 主要 是 今晚 喝 了 包 蒙牛 很 不爽 十二 星座 现在 状况
__label__negative , 公司 饭堂 的 牛奶 居然 是 蒙牛 和 伊利 的 太 坑爹 了 我 要 晨光
__label__negative , 早就 不喝 蒙 牛 了 咱 家 早 就 不喝 蒙 牛 了 从来 喝天友 蒙牛 是 个 伪 民族 企业 哪里 会 把 中国 消费者 当 回 事  蒙牛 是 蒙人 吧
__label__negative , 平安夜 怎么 过  没心情 过  错过 蒙牛 的 复试 也 不算是 错过 自己 的 选择
__label__negative , 有事多事之秋 啊  这些 大 品牌 蒙牛 修正 药业 酒 鬼 酒  都 该 倒闭 啊
__label__negative , 现在 吃 什么 都 不放心 我 都 开始 怀疑 淫生 了  蒙牛 啊  我 说 你 什么 好 
__label__negative , 回国 不喝奶 我 就 不明白 为啥 还 有人 买 蒙 牛  还 在 卖 蒙牛 的 人  只能 说是 自己 找 死 了
__label__negative , 我 怎么 看 着 这 喝奶 的 孩子 心里 一惊 呢 感觉 像 在 喝 有害 液体 蒙牛 伤 不起
__label__negative , 才 三 成 看来 舆论 的 力量 不够 大 呀 快 消头 条 蒙牛 负面 报道 致 销量 下滑 三 成 
__label__negative , 消费者 连 抵制 蒙牛 都 坚持 不住  扯 什么 抵制 日货
__label__negative , 蒙牛 不死  死 的 就 是 我们 蒙牛 蒙牛 我 不行  蒙人 我 很 在 行 
__label__negative , 潜台词  别 给 脸 不要 脸 分享 网易 新闻 蒙牛 总裁 生产 日期 篡改属 个 例
__label__negative , 中国 独有 国外 早就 证明 不可能 了 蒙牛 继续 坑害 中国 消费者 吧
__label__negative , 珍爱 生命  远 离x国 换 包装 也 消灭 不了 毒 牛奶 这 一 形象 蒙牛 一生 黑  坚决 不买 蒙牛 出 的 任何 产品 珍爱 生命 远离 蒙牛 为啥 突然 想到 某 洗 洗 更 健康 救  回复 救命 回复 新蒙牛 新 变化
__label__negative , 你 还 给 父母 买 蒙牛 不孝 啊  没错 现在 还 喝 蒙牛 的 人 不值得 同情 还 敢 喝 蒙牛 是 你 自己 的 错
__label__negative , 换 个 马甲 就 以为 消费者 不认识 啦 凸凸  哥们 儿 是 从 小蒙 牛 喝 多 了 吧  回复 这 话 你 自己 信么  回复 新蒙牛 新 变化
__label__negative , 真心 后悔 了 真心 知道 错 了 我 不该 昨天 晚上 贪嘴 吃 了 两 根 蒙牛 的 冰棍 结果 今天 就 胃 疼 拉 肚子 各种 难受  呜呜 呜 呜 以后 一定 一定 长记性 了
__label__negative , 什么 三鹿蒙牛 的 都 太 可怕 了 还是 从 小儿 喝 的 北京 自己 的 三元 最 靠谱 儿
__label__negative , 不喝 蒙 牛 了 蒙牛 改期 牛奶 流通 揭秘
__label__negative , 就 来 抵制 蒙牛 吧 这个 坑害 自己 同胞 损害 国人 健康 的 汉奸
__label__negative , 刚 买 不久 的 一 盒 酸奶 刚 拿 出 一 小盒 就 是 个 烂 的 这 里面 的 质量 我 只 要求 不会 死 就 好 了 你 个 小盒盒 的 质量 也 这么 差劲  我 发誓 再 也 不买 蒙牛 了 彻底 失望
__label__negative , 极度 的 败类  以前 把 蒙牛 当 做 民族 的 骄傲 现在  唉 所以 说 当真 爆发 了 战争 别国 都 不需要 真正 打 中国 自己 人 都 把 自己 人 给 打 死 了  狂 妄 至 极 
__label__negative , 据 业内人士 说 他 从来 不喝 蒙牛 的 牛奶 不吃蜜饯  元芳 你 怎么 看 
__label__negative , 喝 蒙牛 慢性 自杀
__label__negative , 共 勉  嗯嗯  你们 都 不是 正常 的 消费者 我 不吃 双汇 的 肉制品 不喝 伊利 和 蒙牛 现在 开始 不喝 国内 的 任何 红酒 和 白酒 不知 我 算 否 合格 和 正常 否
__label__negative , 狗屁 抵制 蒙牛
__label__negative , 为什么 伊利 蒙牛 喝 了 会 拉 肚子 进口 牛奶 不会 不是 我 一个 人 这样
__label__negative , 喝 了 蒙牛 被 打 的 很 惨 的 这 猴子 被 打 的 很 惨 啊  能 不能 告诉 我 这 货 是 不是 喝 了 蒙牛
__label__negative , 好像 是 一 箱 蒙牛 啊  你们 得 小心 啊  蒙牛 有 慢性毒 药  好多 零食 啊
__label__negative , 完 了 完 了 垃圾 蒙牛 伊利 要 来 欺负 咱们 的 燕塘 香 满 楼 了 贷款 我 要 养 奶牛
__label__negative , 远离 蒙牛 吧 谁 沾 上 谁 死  老莫 一 世 英 名  毁 于 x牛 之 手
__label__negative , 蒙牛 真 让 我 心疼
__label__negative , 人家 活 得 好好 的 还 改头 换 面 换 包装 呢 蒙牛 怎么 还 没死  蒙牛 没错
__label__negative , 负面 报道 致 蒙牛 销量 降 三 成 蒙牛 昨日 公布 上半年 业绩 报告 中 报 显示 蒙牛 实现 营业 收入 亿 元 同比 下跌 受到  末 黄曲霉素 等 负面 报道 影响 蒙牛 的 市场 销售 一度 下滑 近  近日 又 因 篡改 日期 陷入 舆论 漩涡 的 蒙牛 集团 表示 将 提高 透明度 提升 蒙牛 形象
__label__negative , 老公 买 的 蒙牛 高钙奶 里面 倒 出来 有 小飞 蛾 真 恶心 再 也 不买 蒙牛 的 奶 了
__label__negative , 艹  蒙牛 就 是 傻逼
__label__negative , 关于 蒙牛 篡改 生产 日期 牟取暴利 的 消息 蒙牛 官方 新闻 发布会 承认 确属 事实 但 没提到 道歉 及 赔偿 问题 蒙牛 就 是 牛 啊 咱能 不喝 嘛 咱能 让 他 关门 吗
__label__negative , 都 不容易 这种 傻逼 逻辑 还要 祸害 我们 多久 啊 蒙 牛卖毒 牛奶 给 消费者 你们 说 他们 不容易 地震 时豆 腐渣 校舍 压 死人 你们 也 说 他们 不容易 尼玛 的 哪 天火化场 在 你 没断气 就 扔 到 火化 炉里 时  你 也 记得 说 一 声 他们 不容易 一 天 要 烧 这么 多 人 搞 错 了 也 是 正常 的
__label__negative , 早就 绕道 蒙牛 了 每天 一 斤 奶 整垮 中国 人 无良 的 企业 就 该 挂 掉 早就 开始 抵制 蒙牛 了 这种 企业  垮 掉 才 是 合理 的 抵制 蒙牛 从 我 做 起 
__label__negative , 最近 喝 多 了 蒙牛 胸部 有点 发 涨 不知道 会 不会 死 
__label__negative , 太 缺德 了 蒙牛 怎么 不倒闭
__label__negative , 蒙牛 伊利 都 不吃 这种 黑心 工厂 早点 关门 静观 其 变 
__label__negative , 亮 瞎 了 消费者 喝 蒙牛 牛奶 喝 出 活 虫子 
__label__negative , 刚刚 从 酸奶 里 喝 出来 的 我 以后 再 也 不喝 蒙 牛 了 这 什么 玩意儿 啊 
__label__negative , 抵制 蒙牛 抵制 日货 哪个 更 重要 钓鱼 岛事 关 国家 利益 和 尊严 蒙牛 奶事 关 国民 健康 和 生命 哪个 更 可恨 日本 是 外 敌  蒙牛 是 国贼  哪个 更 该 打
__label__negative , 最近 我 心神 不定 先 满足 我 小小的 愿望 来 桌 满 汉 全席 就 好 了 睡 前 给 我 一 杯 热牛奶 不喝 伊利 不喝 不要 蒙牛 雀巢 就 行  然 后 我 俩 开始 吐槽 到 天亮
__label__negative , 同感 中国 人 没文化 的 太 多 那天 一个 大妈 看 不清 问 我 一 箱 蒙 牛奶 截止 日期 我 说 这 没谱  没谱 说 了 几 遍  她 依然 买 了 我 也 纳 闷  中国 人 就 有 胡吃胡 喝 的 人群 你 看 餐厅 里 到处 是 肥头 大 耳满面 红光 大 吃 大 喝 脑 卒中 前期 的 人 所以 地 沟油 和 蒙牛 很多 年死 不了
__label__negative , 请 那些 老拍 广 告害 小孩子 的 傻逼 明星 们 看看  顺 带 呼吁 抵制 蒙牛
__label__negative , 不要 让 我 像 讨厌蒙牛 一样 讨厌 徐福 记 
__label__negative , 蒙牛 拥有 史 上 最 烂 公关 团队 的 公司 没有 之一
__label__negative , 这 是 我 吃 到 的 世界 上 最 不酸 的 酸奶 蒙牛 让 我 又 一 次 失望 了
__label__negative , 呜 呜 呜 我 的 蒙牛 优益 c 啊 好不容易 买 一 瓶 给 我 撒 了 一半
__label__negative , 蒙牛 的 早餐 奶  蜂蜜 的确 是 太 过 甜腻 吃 的 我 要 反 胃 了
__label__negative , 惊奇 的 发现 原来 我们 学校 给 孩子 们 喝 的 都 是 蒙牛 罪 过  罪 过 
__label__negative , 强烈 关注 强烈 谴责 蒙牛 就 是 一 坨 屎 一辈子 也 不会 喝 蒙 牛 一 滴 奶 
__label__negative , 尼玛  闷牛嘛  骆驼 的 就 挨 踢 蒙牛 只 祸害 内地 人 的 做事 真 缺德
__label__negative , 扯淡 智商 不健全 才 是 硬 伤 蒙牛 都 那样 了 还 不是 一样 有人 买 
__label__negative , 终于 明白 为什么 我 极度 讨厌 这 俩 小白 了 这个 是 高人  大 有 内涵 呵 呵 喝 蒙牛 和 伊利 成长 起来 的
__label__negative , 不喜 吃 蒙牛 任何 产品  怕 吃 死人
__label__negative , 蒙牛 真他 妈 的 坑爹 啊  喝 特仑 苏攒 积分 好不容易 攒 到 分  能 兑点 东西 了 积分 商城 能 兑 的 全部 没库存 剩下 的 都 是 积分 上万 起 兑 的 你 妈 啊
__label__negative , 我 最 讨厌蒙牛 的 高官 没有 一点 为 人民 服务 的 意识 这样 的 民族 企业 不要 也 罢  蒙人 的 牛奶 全民 转发 你 真 猛 牛  以后 拒绝 蒙牛 系列 产品
__label__negative , 早就 不买 那 两 个 品牌 了 提醒 你们 的 妈妈 也 别 因为 便宜 而 买 啦 欺骗 国人 该 死  坚决 抵制 蒙牛 希望 国家 加强 管理 机制 严惩奸 商
__label__negative , 没脑子 砸 的 不是 自己 的 当然 爽  今天 才 知道 养乐 多 原来 是 日货 一 一 喝 还是 不喝 反 已 蒙牛 那个 同 养乐 多味 道 差不多 的 我 不敢 喝 呵 呵 爱国 不过 是 打 个 幌子 撒 泼  呵呵人性 这 耳光打 的 我 说 为什么 我家 车 四周 都 被 钥匙 划 了 那么 多 道子
__label__negative , 刘翔 咱 不跑 了 以后 我们 喝 可口 可乐 不喝 百 事 喝 伊利 不喝 蒙牛 买 耐克 不买 阿迪  保健品 就 用 安利 纽崔莱  没事  我们 养 你  转 自  人人 网友
__label__negative , 蒙牛 你 还是 去 死 吧  凸凸  哥们 儿 是 从 小蒙 牛 喝 多 了 吧  回复 这 话 你 自己 信么  回复 新蒙牛 新 变化
__label__negative , 可 悲 呀 蒙牛 还 能 吃 吗 哎  震惊 了
__label__negative , 大家 看来 都 在 吐槽 蒙牛 香蕉 牛奶 这 是 个 抢 钱 的 时代
__label__negative , 白 打工 好 累 不会 爱 了 〒 〒
__label__negative , 这 是 有 多脑 残 多 谄媚 才能 说出 这样 的 话 估计 是 蒙牛 喝 多 了
__label__negative , 蒙牛 不行  伊利 不行  现在 连 光明 也 出 问题 还有 没有 牛奶 可以 喝 啊
__label__negative , 已经 不喝 牛奶 了 已经 不买 蒙 牛 了  次 奥2  次 奥  还有 人 买 蒙牛
__label__negative , 同事 的 遭遇 关注 一下 鄙 视蒙牛 我 已经 一 年 多 没买 过 蒙牛 产品 啦
__label__negative , 鄙 视蒙 牛  再 也 不买 蒙牛 任何 产品  人 渣 
__label__negative , 蒙牛 怎么 可以 这么 做 呢 我 呸 抵制 蒙牛
__label__negative , 从 现在 起 拒绝 蒙牛 一切 产品 抵制 蒙牛 从 我 做 起 
__label__negative , 蒙牛 已经 中 枪 无数 次 了 孩纸 抵制 蒙牛 一 年 了 快  蒙牛 老冰棍 也 挺 好  老冰棍 也 不能 吃 了 有 谁 知道 八 喜 跟 和 路雪 安全 吗
__label__negative , 蒙牛 始终 是 个 不诚实 的 企业 以后 蒙牛 也 不敢 喝 了
__label__negative , 商场 是 没有 硝烟 的 战场 被 抽查 如此 多次 还有 问题 真相 很 耐人寻味 我 看 蒙 牛连 出 问题 是否 有 多方 因素 老板 不会 这么 无良心 的  请 问 蒙牛 屡 出 问题 一 年 抽查 了 多少 次
__label__negative , 喝 葡萄酒 等于 喝 农药 不能 再 相信 张裕 犯 过 错误 的 人 再 犯 的 可能性 很 大 比如 蒙牛 唯有 彻底 关门 倒闭 才 能 打消 消费者 的 顾虑 
__label__negative , 伊利 逆天神 作 蒙蒙 以后 我 不买 蒙牛 了 又 一个 逆天 的 广告 好 有 爱好 有 爱 中国 广告 有 救 了 不看 完 你 根本 不可能 猜 出 它 是 什么 广告
__label__negative , 我们 不喝 蒙牛
__label__negative , 蒙牛 真心 难 喝
__label__positive , 下午 又 尝 了 另 一 种 banana milk 上面 有 个 萌 奶牛 的 感觉 比 昨天 的 宾格瑞 好喝 啊  那个 太 甜 了 天 喔 的 感觉 挺 诡异 的  蒙牛 的 最 贵 最 坑爹
__label__negative , 蒙牛 倒闭 木 有 呀
__label__negative , 尼玛传说 中 的 神物 真 的 看见 了 太 可 恶心 了 以后 坚决 抵制 蒙牛
__label__negative , 嗯嗯  你们 都 不是 正常 的 消费者 我 不吃 双汇 的 肉制品 不喝 伊利 和 蒙牛 现在 开始 不喝 国内 的 任何 红酒 和 白酒 不知 我 算 否 合格 和 正常 否
__label__negative , 蒙牛 鲜奶 真难 喝
__label__negative , 蒙牛 还 没倒闭
__label__negative , 凶手会 是 蒙牛 吗
__label__negative , 暴利 暴力 反正 我 已经 基本 不喝 奶 了 尤其 不喝 伊利 和 蒙牛
__label__negative , 蒙牛 的 奶 够 难 喝
__label__negative , 听 那 怪兽 老师 讲 了 两 堂 的 蒙牛 恶心 蒙牛 有 什么 好 的
__label__negative , 喝 蒙牛 自杀 啊 
__label__negative , 蒙牛 牛 真 可怜
__label__negative , 牧民 代表 蒙 牛伊利 没有 任何 毛病 因为 有 毛病 的 都 是 喝奶 的 人
__label__negative , 蒙牛 伊利 不敢 喝
__label__negative , 希望 加多宝 不要 沦为 曾经 的 湖南 卫视 的 超 女 赞助 商蒙牛 的 下场
__label__negative , 喝 蒙 牛者 必脑 残
__label__negative , 纯属 蒙牛 喝 多 了
__label__negative , 蒙牛 伊利 都 没法 吃 了 不能 让 领导 饥渴 着 这个 很 能 说明 问题
__label__negative , 坐 等 蒙牛 倒闭
__label__negative , 蒙牛 有 质量 问题
__label__negative , 中午 买错 了 蒙牛 的 酸奶 喝 拉 肚子 拉 了 一下 再 喝 蒙牛 就 是 傻逼
__label__negative , 以后 再 也 不喝 蒙 牛 了 一 天 拉 了 十几 次 难受 啊
__label__negative , 去 tmd 蒙牛 狗 屁特仑 苏  再 也 不买 内地 这 类 企业 可能 很多 这么 想 的  蒙牛 只 是 一 不小心 说 出 了 实情 蒙牛 不死  天理 难容
__label__negative , 现在 演 到 多少 期 了 蒙 牛酸酸 乳风云 榜  貌 似 我 落伍 了 纠结
__label__negative , 出 了 多少 事 了 还 买 蒙牛 伊利 呢 只 买 地产 三元 孙子 不买 蒙 牛 了
__label__negative , 我 是 真心 的 如 不吃 蒙牛 般 再 也 不吃 肯德 基  再见 了 我 的 原味 鸡 
__label__negative , 我 原地 小复苏 后 我 妈 问 我 喝 的 啥 牌子 牛奶 我 说 德国 得 我 妈 说 你 看 吧 国外 病毒 更 可怕 直接 整中 毒  都 找 不到 赔偿 还 不如 喝 蒙牛 呢
__label__negative , 早就 不买 蒙 牛 了
__label__negative , 不买 蒙牛 很 久 了
__label__negative , 蒙牛 作 恶 无 底线
__label__negative , 所以 不要 买 蒙牛
__label__negative , 我 每天 都 喝 我 不喝 蒙牛 已经 很多 年 了 也 不会 再 相信 蒙牛 了
__label__negative , 坚决 不买 蒙牛
__label__negative , 坑人 的 蒙牛
__label__negative , 蒙牛 我 早已 从 失望 到 绝望  这个 行业 怎样 安慰 我们 受伤 的 心 
__label__negative , 以后 绝不 买 蒙牛
__label__negative , 丑闻 百 出 的 蒙牛
__label__negative , 很 难 想象 蒙牛 出 了 那么 多 问题 竟然 还 在 市面 上 销售 还有 人 买
__label__negative , 以后 不买 蒙 牛 了
__label__negative , 蒙牛 不要 买 了
__label__negative , 我们 不需要 蒙牛
__label__negative , 不能 再 吃 蒙牛 了
__label__negative , 死 也 不喝 蒙牛
__label__negative , 咋 没抵制 蒙牛 的
__label__negative , 蒙牛 都 抵制 不了 还 抵制 日货 不论 国界 打杂 抢 的 都 是 人渣 
__label__negative , 广告 太 多 了 多 的 让 人 对 节目 失去 耐心 更 可气 的 是 还有 蒙牛
__label__negative , 再 也 不喝 蒙 牛 了
__label__negative , 抵制 吃货 后来 果然 上 了 蒙牛 酸奶 后座 女士 掏心 掏 肺 地 喝
__label__negative , 根本 不买 蒙牛
__label__negative , 再 喝 蒙牛 纯傻 逼
__label__negative , 坑爹 蒙牛 代言人
__label__negative , 蒙牛 好 可怕
__label__negative , 蒙牛 你 真 不要 脸
__label__negative , 休息室 只有 蒙牛 酸奶 我 是 不喝 呐 还是 不喝 呐 还是 不喝 呐
__label__negative , 绝不 喝 蒙 牛伊利
__label__negative , 农村 里 这样 的 事情 太 多 了 哎  可恨 又 可 气  又 无可奈 何  回复 气 着 了 吧  当年 蒙牛 是 踩 着 无数 供应商 的 尸首 才 把 全国 的 生产厂 建 起来 的 自打 起  我 再 也 不喝 蒙 牛奶 这 帮 人 前 道貌 岸然 背后 一 肚子 坏水 的 人 是 没有 底线 的 以前 没有 以后 也 不会 有
__label__negative , 今天 喝 了 一 包 号 在 中关村 家乐福 买 的 号 蒙牛 生产 的 牛奶 竟然 一 股 脚 臭味 cnm 你 想 恶心 死 老纸 啊  以后 能 不买 蒙牛 就 不买 蒙牛
__label__negative , 这个 世道 想 喝 个 牛奶 也 这么 悲催 啊  伊利 是 仅次于 蒙牛 的 第二 劣质 牛奶 俺 早 不喝 了 要么 自己 养头 牛 吧
__label__negative , 虽然 我 也 很 气愤  已经 很 久 没有 买 蒙 牛 了 但是 不得不 想 没有 了 蒙牛 让 伊利 一 家 独 大  怕 是 也 不会 有 什么 好 结果
__label__negative , 喝 蒙牛 给 你 的 肠子 洗 洗脑  喝 蒙牛 做 三 观 端正 人格 完整 的 中国 人  抵制 蒙牛 才 是 正事  不要 买 啊  去 你 妈蒙 牛  去 你 妈蒙牛 毒死 一个 不少
__label__negative , 我 再 也 不喝 蒙 牛 了 太 恶心 了 我 不想 说 连续 喝 盒 都 有 凝固 的 沉淀 物  已经 打 了  蒙 牛null 电话 给 蒙牛 公司  坐 等 回复 shit 坑爹 的 蒙牛 买 了 一 箱 回来 今天 打开 一 看 瞎 眼 了 怎么 就 少 了 两 瓶 牛奶 这 不就 是 欺骗 市民 嘛 无 良 的 商家 质量 差 就算 了 现在 数量 也 欠缺 蒙牛
__label__negative , 蒙牛 曝 三聚腈胺 换 成 伊利 伊利 曝 致癌 换 回 蒙牛 蒙牛 又 篡改 临近 过期 产品 的 生产 日期 又 换 回 伊利 看来 得 去 香港 给 自己 买 奶粉 了
__label__negative , 什么 行业 出现 了 所谓 的 国企 就 没有 良性 竞争 这么 个 玩意 了 自从 成 了 国企 之后 他们 更加 肆无忌 惮 了 我 很 疑惑 蒙牛 为什么 还 没倒闭
__label__negative , 主 页君 的 态度 值得 嘉奖 但是 给 你家 的 机会 不是 只 有 一 次 吧 一 年 之内 好几 次 出事 每次 都 是 加大 整改 这样 的 企业 死 掉 意义 更 大 其他 的 企业 才 能 警钟长鸣 上面 是 你们 的 人 老百姓 自己 用 脚 投票 蒙牛 不死  我们 一 天 不会 放弃 抵制
__label__negative , 内地 不是 人 啊 抵制 蒙牛
__label__negative , 宾馆 每天 送 两 袋奶  糊 里 糊涂 喝 了 今天 才 发现 是 蒙牛 的 不喝 了
__label__negative , 切糕 坑 钱 蒙 牛坑 命 
__label__negative , 来 瓶蒙 牛祸害 一下 自己
__label__negative , 蒙牛 吃 傻 你 啊 make 蛋挞 做 不做 吃货 们 继续 收 福利 啦 
__label__negative , 蒙牛 真 果粒 喝 出 腐败 椰果  好 恶心 有 图 为 证 
__label__negative , 不转 不行 啊 南航 最 可恶 的 就 是 机餐 上 供应 的 是 蒙牛 酸奶
