__label__positive , 蒙牛 很 牛
__label__negative , 有事 多事之秋 啊 这些 大 品牌 蒙牛 修正 药业 酒鬼 酒 都 该 倒闭 啊
__label__negative , 现在 吃什 么 都 不放心 我 都 开始 怀疑 淫生 了 蒙牛 啊 我 说 你什 么 好
__label__negative , 回国 不喝 奶 我 就 不明白 为啥 还 有人 买 蒙牛 还 在 卖 蒙牛 的 人 只 能 说是 自己 找 死 了
__label__negative , 我 怎 么 看 着 这 喝奶 的 孩子 心里 一 惊 呢 感觉 像 在 喝 有害 液体 蒙牛伤 不起
__label__negative , 才 三 成 看 来 舆论 的 力量 不够 大 呀 快 消头 条 蒙牛 负面 报道 致 销量 下滑 三 成
__label__negative , 消费者 连 抵制 蒙牛 都 坚持 不住 扯什 么 抵制 日货
__label__negative , 蒙牛 不死 死 的 就 是 我们 蒙牛 蒙牛 我 不行 蒙人 我 很 在 行
__label__negative , 潜台词 别 给 脸 不要 脸 分享 网易 新闻 蒙牛 总裁 生产 日期 篡改 属 个 例
__label__negative , 中国 独有 国外 早就 证明 不可能 了 蒙牛 继续 坑害 中国 消费者 吧
__label__negative , 珍爱 生命 远离 x国 换 包装 也 消灭 不了 毒 牛奶 这 一 形象 蒙牛 一生 黑 坚决 不买 蒙牛 出 的 任何 产品 珍爱 生命 远离 蒙牛 为 啥 突然 想到 某 洗洗 更 健康 救 回复 救命 回复 新 蒙牛 新 变化
__label__negative , 你 还 给 父母 买 蒙牛 不孝 啊 没错 现在 还 喝 蒙牛 的 人 不值得 同情 还 敢 喝 蒙牛 是 你 自己 的 错
__label__negative , 换 个 马甲 就 以为 消费者 不认识 啦 凸 凸 哥们儿 是 从 小 蒙牛 喝 多 了 吧 回复 这话 你 自己 信 么 回复 新 蒙牛 新 变化
__label__negative , 真心 后悔 了 真心 知道 错 了 我 不该 昨天 晚上 贪嘴 吃 了 两 根 蒙牛 的 冰棍 结果 今天 就 胃疼 拉 肚子 各种 难受 呜呜 呜呜 以后 一定 一定 长记性 了
__label__negative , 什 么 三 鹿 蒙牛 的 都 太 可怕 了 还是 从 小儿 喝 的 北京 自己 的 三 元 最 靠 谱儿
__label__negative , 不喝 蒙牛 了 蒙牛 改期 牛奶 流通 揭秘
__label__negative , 就 来 抵制 蒙牛 吧 这个 坑害 自己 同胞 损害 国人 健康 的 汉奸
__label__negative , 刚 买 不久 的 一 盒 酸奶 刚 拿 出 一 小 盒 就 是 个 烂 的 这 里面 的 质量 我 只 要求 不会 死 就 好 了 你 个 小 盒盒 的 质量 也 这 么 差劲 我 发誓 再 也 不买 蒙牛 了 彻底 失望
__label__negative , 极度 的 败类 以前 把 蒙牛 当做 民族 的 骄傲 现在 唉 所以 说 当真 爆发 了 战争 别国 都 不需要 真正 打 中国 自己人 都 把 自己人 给 打 死 了 狂妄 至 极
__label__negative , 据 业内人士 说 他 从 来不 喝 蒙牛 的 牛奶 不吃 蜜饯 元芳 你 怎 么 看
__label__negative , 喝 蒙牛 慢性 自杀
__label__negative , 共勉 嗯嗯 你们 都 不是 正常 的 消费者 我 不吃 双汇 的 肉制品 不喝 伊利 和 蒙牛 现在 开始 不喝 国内 的 任何 红酒 和 白酒 不知 我 算 否 合格 和 正常 否
__label__negative , 狗屁 抵制 蒙牛
__label__negative , 为什 么 伊利 蒙牛 喝 了 会 拉 肚子 进口 牛奶 不会 不是 我 一个 人 这样
__label__negative , 喝 了 蒙牛 被 打 的 很 惨 的 这 猴子 被 打 的 很 惨 啊 能 不能 告诉 我 这 货 是 不是 喝 了 蒙牛
__label__negative , 好像 是 一 箱 蒙牛 啊 你们 得 小心 啊 蒙牛 有 慢性 毒药 好多 零食 啊
__label__negative , 完 了 完 了 垃圾 蒙牛 伊利 要 来 欺负 咱们 的 燕塘 香 满 楼 了 贷款 我 要 养 奶牛
__label__negative , 远离 蒙牛 吧 谁 沾 上 谁 死 老 莫 一 世 英名 毁 于 x牛 之 手
__label__negative , 蒙牛真 让 我 心疼
__label__negative , 人 家 活 得 好好 的 还 改头换面 换 包装 呢 蒙牛 怎 么 还 没死 蒙牛 没错
__label__negative , 负面 报道 致 蒙牛 销量 降 三 成 蒙牛 昨日 公布 上半年 业绩 报告 中报 显示 蒙牛 实现 营业 收入 亿 元 同比 下跌 受到 末 黄曲霉素 等 负面 报道 影响 蒙牛 的 市场 销售 一度 下滑 近 近日 又 因 篡改 日期 陷入 舆论 漩涡 的 蒙牛 集团 表示 将 提高 透明度 提升 蒙牛 形象
__label__negative , 老公 买 的 蒙牛 高 钙 奶 里面 倒 出 来 有 小 飞蛾 真 恶心 再 也 不买 蒙牛 的 奶 了
__label__negative , 艹 蒙牛 就 是 傻逼
__label__negative , 关于 蒙牛 篡改 生产 日期 牟取暴利 的 消息 蒙牛 官方 新闻 发布会 承认 确属 事实 但 没提到 道歉 及 赔偿 问题 蒙牛 就 是 牛 啊 咱 能 不喝 嘛 咱 能 让 他 关门 吗
__label__negative , 都 不容易 这种 傻逼 逻辑 还要 祸害 我们 多久 啊 蒙牛 卖 毒 牛奶 给 消费者 你们 说 他们 不容易 地震 时 豆腐 渣 校舍 压 死 人 你们 也 说 他们 不容易 尼玛 的 哪 天 火化场 在 你 没断气 就 扔 到 火化炉 里 时 你 也 记得 说 一 声 他们 不容易 一 天 要 烧 这 么 多 人 搞 错 了 也 是 正常 的
__label__negative , 早就 绕道 蒙牛 了 每天 一 斤 奶 整垮 中国 人 无良 的 企业 就 该 挂 掉 早就 开始 抵制 蒙牛 了 这种 企业 垮 掉 才 是 合理 的 抵制 蒙牛 从 我 做 起
__label__negative , 最近 喝 多 了 蒙牛 胸部 有 点 发 涨 不知道 会 不会 死
__label__negative , 太 缺德 了 蒙牛 怎 么 不倒闭
__label__negative , 蒙牛 伊利 都 不吃 这种 黑心 工厂 早 点 关门 静观 其 变
__label__negative , 亮 瞎 了 消费者 喝 蒙牛 牛奶 喝 出 活虫子
__label__negative , 刚刚 从 酸奶 里 喝 出 来 的 我 以后 再 也 不喝 蒙牛 了 这 什 么 玩意儿 啊
__label__negative , 抵制 蒙牛 抵制 日货 哪 个 更 重要 钓鱼岛 事 关 国 家 利益 和 尊严 蒙 牛奶 事关 国民 健康 和 生命 哪 个 更 可 恨 日本 是 外敌 蒙牛 是 国贼 哪 个 更 该 打
__label__negative , 最近 我 心神不定 先 满足 我 小小 的 愿望 来 桌 满 汉 全席 就 好 了 睡 前 给 我 一 杯 热牛奶 不喝 伊利 不喝 不要 蒙牛 雀巢 就 行 然后 我 俩 开始 吐槽 到 天亮
__label__negative , 同感 中国 人 没文化 的 太 多 那天 一个 大妈 看 不清 问 我 一 箱 蒙 牛奶 截止 日期 我 说 这 没谱 没谱 说 了 几 遍 她 依然 买 了 我 也 纳闷 中国 人 就 有 胡吃胡喝 的 人群 你 看 餐厅 里 到处 是 肥头 大 耳满面红光 大吃大喝脑卒 中 前期 的 人 所以 地 沟油 和 蒙牛 很 多年 死 不了
__label__negative , 请 那些 老拍 广告 害 小孩子 的 傻逼 明星 们 看看 顺带 呼吁 抵制 蒙牛
__label__negative , 不要 让 我 像 讨厌 蒙牛 一样 讨厌 徐福记
__label__negative , 蒙牛 拥有 史 上 最 烂 公关 团队 的 公司 没有 之一
__label__negative , 这 是 我 吃 到 的 世界 上 最 不酸 的 酸奶 蒙牛 让 我 又 一 次 失望 了
__label__negative , 呜呜 呜 我 的 蒙牛 优益c 啊 好 不容易 买 一 瓶 给 我 撒 了 一半
__label__negative , 蒙牛 的 早餐 奶 蜂蜜 的 确 是 太 过 甜腻 吃 的 我 要 反 胃 了
__label__negative , 惊奇 的 发现 原 来 我们 学校 给 孩子 们 喝 的 都 是 蒙牛 罪 过 罪 过
__label__negative , 强烈 关注 强烈 谴责 蒙牛 就 是 一 坨 屎 一辈子 也 不会 喝蒙 牛 一 滴 奶
__label__negative , 尼玛 闷牛 嘛 骆驼 的 就 挨 踢 蒙牛 只 祸害 内地人 的 做事 真 缺德
__label__negative , 扯 淡 智商 不健全 才 是 硬 伤 蒙牛 都 那样 了 还 不是 一样 有人 买
__label__negative , 终于 明白 为什 么 我 极度 讨厌 这 俩 小白 了 这个 是 高人 大 有 内涵 呵呵 喝 蒙牛 和 伊利 成长 起 来 的
__label__negative , 不喜 吃 蒙牛 任何 产品 怕 吃 死 人
__label__negative , 蒙牛 真 他 妈 的 坑 爹 啊 喝 特仑 苏攒 积分 好 不容易 攒 到 分 能 兑 点 东西 了 积分 商城 能 兑 的 全部 没库存 剩下 的 都 是 积分 上万 起 兑 的 你 妈 啊
__label__negative , 我 最 讨厌 蒙牛 的 高官 没有 一点 为 人民 服务 的 意识 这样 的 民族 企业 不要 也 罢 蒙人 的 牛奶 全民 转发 你 真 猛 牛 以后 拒绝 蒙牛 系列 产品
__label__negative , 早就 不买 那 两 个 品牌 了 提醒 你们 的 妈妈 也 别 因为 便宜 而 买 啦 欺骗 国人 该 死 坚决 抵制 蒙牛 希望 国 家 加强 管理 机制 严惩 奸商
__label__negative , 没脑子 砸 的 不是 自己 的 当然 爽 今天 才 知道 养乐 多 原 来 是 日货 一 一 喝 还是 不喝 反 已 蒙牛 那个 同养 乐 多 味道 差 不多 的 我 不敢 喝 呵呵 爱国 不过 是 打 个 幌子 撒 泼 呵呵 人性 这 耳光 打 的 我 说 为什 么 我 家 车 四周 都 被 钥匙 划 了 那 么 多 道子
__label__negative , 刘翔 咱 不跑 了 以后 我们 喝 可口可乐 不喝 百 事 喝 伊利 不喝 蒙牛 买 耐克 不买 阿 迪 保健品 就 用 安利纽 崔莱 没事 我们 养 你 转 自 人人 网友
__label__negative , 蒙牛 你 还是 去 死 吧 凸 凸 哥们儿 是 从 小 蒙牛 喝 多 了 吧 回复 这话 你 自己 信 么 回复 新 蒙牛 新 变化
__label__negative , 可悲 呀 蒙牛 还 能 吃 吗 哎 震惊 了
__label__negative , 大 家 看 来 都 在 吐槽 蒙牛 香蕉 牛奶 这 是 个 抢钱 的 时代
__label__negative , 白 打工 好 累 不会 爱 了 〒 〒
__label__negative , 这 是 有 多 脑 残 多 谄媚 才 能 说 出 这样 的 话 估计 是 蒙牛 喝 多 了
__label__negative , 蒙牛 不行 伊利 不行 现在 连 光明 也 出 问题 还有 没有 牛奶 可以 喝 啊
__label__negative , 已经 不喝 牛奶 了 已经 不买 蒙牛 了 次奥2 次 奥 还 有人 买 蒙牛
__label__negative , 同事 的 遭遇 关注 一下 鄙视 蒙牛 我 已经 一 年 多 没买 过 蒙牛 产品 啦
__label__negative , 鄙视 蒙牛 再 也 不买 蒙牛 任何 产品 人 渣
__label__negative , 蒙牛 怎 么 可以 这 么 做 呢 我 呸 抵制 蒙牛
__label__negative , 从 现在 起 拒绝 蒙牛 一切 产品 抵制 蒙牛 从 我 做 起
__label__negative , 蒙牛 已经 中 枪 无数 次 了 孩纸 抵制 蒙牛 一 年 了 快 蒙牛 老 冰棍 也 挺 好 老 冰棍 也 不能 吃 了 有 谁 知道 八喜跟 和 路雪 安全 吗
__label__negative , 蒙牛 始终 是 个 不诚实 的 企业 以后 蒙牛 也 不敢 喝 了
__label__negative , 商场 是 没有 硝烟 的 战场 被 抽查 如此 多次 还有 问题 真相 很 耐人寻味 我 看 蒙牛 连 出 问题 是 否 有 多方 因素 老板 不会 这 么 无 良心 的 请问 蒙牛 屡 出 问题 一 年 抽查 了 多少 次
__label__negative , 喝 葡萄酒 等于 喝 农药 不能 再 相信 张裕 犯 过 错误 的 人 再 犯 的 可能性 很 大 比如 蒙牛 唯有 彻底 关门 倒闭 才 能 打消 消费者 的 顾虑
__label__negative , 伊利 逆天 神作 蒙蒙 以后 我 不买 蒙牛 了 又 一个 逆天 的 广告 好 有 爱好 有 爱 中国 广告 有救 了 不看 完 你 根本 不可能 猜 出 它 是 什 么 广告
__label__negative , 我们 不喝 蒙牛
__label__negative , 蒙牛 真心 难 喝
__label__positive , 下午 又 尝 了 另 一 种 banana milk 上面 有 个 萌奶牛 的 感觉 比 昨天 的 宾格瑞 好 喝 啊 那个 太 甜 了 天喔 的 感觉 挺 诡异 的 蒙牛 的 最 贵 最 坑 爹
__label__negative , 蒙牛 倒闭木 有 呀
__label__negative , 尼玛 传说 中 的 神物 真 的 看见 了 太 可 恶心 了 以后 坚决 抵制 蒙牛
__label__negative , 嗯嗯 你们 都 不是 正常 的 消费者 我 不吃 双汇 的 肉制品 不喝 伊利 和 蒙牛 现在 开始 不喝 国内 的 任何 红酒 和 白酒 不知 我 算 否 合格 和 正常 否
__label__negative , 蒙牛鲜奶 真 难 喝
__label__negative , 蒙牛 还 没倒闭
__label__negative , 凶手 会 是 蒙牛 吗
__label__negative , 暴利 暴力 反正 我 已经 基本 不喝 奶 了 尤其 不喝 伊利 和 蒙牛
__label__negative , 蒙牛 的 奶 够 难 喝
__label__negative , 听 那 怪兽 老师 讲 了 两 堂 的 蒙牛 恶心 蒙牛 有什 么 好 的
__label__negative , 喝 蒙牛 自杀 啊
__label__negative , 蒙牛 牛 真 可怜
__label__negative , 牧民代表 蒙牛 伊利 没有 任何 毛病 因为 有 毛病 的 都 是 喝 奶 的 人
__label__negative , 蒙牛 伊利 不敢 喝
__label__negative , 希望 加 多 宝 不要 沦为 曾经 的 湖南 卫视 的 超女 赞助商 蒙牛 的 下场
__label__negative , 喝 蒙牛者 必 脑 残
__label__negative , 纯属 蒙牛 喝 多 了
__label__negative , 蒙牛 伊利 都 没法 吃 了 不能 让 领导 饥渴 着 这个 很 能 说明 问题
__label__negative , 坐等 蒙牛 倒闭
__label__negative , 蒙牛 有 质量 问题
__label__negative , 中午 买 错 了 蒙牛 的 酸奶 喝 拉 肚子 拉 了 一下 再 喝 蒙牛 就 是 傻逼
__label__negative , 以后 再 也 不喝 蒙牛 了 一 天 拉 了 十几 次 难 受 啊
__label__negative , 去 tmd 蒙牛 狗 屁特仑 苏 再 也 不买 内地 这 类 企业 可能 很多 这 么 想 的 蒙牛 只 是 一不小心 说 出 了 实情 蒙牛 不死 天理难容
__label__negative , 现在 演 到 多少 期 了 蒙牛 酸酸乳风云榜 貌似 我 落伍 了 纠结
__label__negative , 出 了 多少 事 了 还 买 蒙牛 伊利 呢 只 买 地产 三 元 孙子 不买 蒙牛 了
__label__negative , 我 是 真心 的 如 不吃 蒙牛 般 再 也 不吃 肯德基 再见 了 我 的 原味 鸡
__label__negative , 我 原地 小 复苏 后 我 妈 问 我 喝 的 啥 牌子 牛奶 我 说 德国 得 我 妈 说 你 看 吧 国外 病毒 更 可怕 直接 整中毒 都 找 不到 赔偿 还 不如 喝 蒙牛 呢
__label__negative , 早就 不买 蒙牛 了
__label__negative , 不买 蒙牛 很 久 了
__label__negative , 蒙牛 作恶 无 底线
__label__negative , 所以 不要 买 蒙牛
__label__negative , 我 每天 都 喝 我 不喝 蒙牛 已经 很多 年 了 也 不会 再 相信 蒙牛 了
__label__negative , 坚决 不买 蒙牛
__label__negative , 坑人 的 蒙牛
__label__negative , 蒙牛 我 早已 从 失望 到 绝望 这个 行业 怎样 安慰 我们 受伤 的 心
__label__negative , 以后 绝 不买 蒙牛
__label__negative , 丑闻 百 出 的 蒙牛
__label__negative , 很 难 想象 蒙牛 出 了 那 么 多 问题 竟然 还 在 市面 上 销售 还 有人 买
__label__negative , 以后 不买 蒙牛 了
__label__negative , 蒙牛 不要 买 了
__label__negative , 我们 不需要 蒙牛
__label__negative , 不能 再 吃 蒙牛 了
__label__negative , 死 也 不喝 蒙牛
__label__negative , 咋 没抵制 蒙牛 的
__label__negative , 蒙牛 都 抵制 不了 还 抵制 日货 不论 国界 打杂抢 的 都 是 人 渣
__label__negative , 广告 太 多 了 多 的 让 人 对 节目 失去 耐心 更 可气 的 是 还有 蒙牛
__label__negative , 再 也 不喝 蒙牛 了
__label__negative , 抵制 吃 货 后 来 果然 上 了 蒙牛酸奶 后 座 女士 掏心掏肺 地 喝
__label__negative , 根本 不买 蒙牛
__label__negative , 再 喝 蒙牛纯傻 逼
__label__negative , 坑 爹 蒙牛 代言人
__label__negative , 蒙牛 好 可怕
__label__negative , 蒙牛 你 真 不要 脸
__label__negative , 休息室 只有 蒙牛 酸奶 我 是 不喝 呐 还是 不喝 呐 还是 不喝 呐
__label__negative , 绝 不喝 蒙牛 伊利
__label__negative , 农村 里 这样 的 事情 太 多 了 哎 可 恨 又 可气 又 无可奈何 回复 气 着 了 吧 当年 蒙牛 是 踩 着 无数 供应商 的 尸首 才 把 全国 的 生产厂 建 起 来 的 自打 起 我 再 也 不喝 蒙 牛奶 这 帮 人 前 道貌岸然 背后 一肚子坏水 的 人 是 没有 底线 的 以前 没有 以后 也 不会 有
__label__negative , 今天 喝 了 一 包 号 在 中关村 家 乐福 买 的 号 蒙牛 生产 的 牛奶 竟然 一 股 脚 臭味 cnm 你 想 恶心 死 老纸 啊 以后 能 不买 蒙牛 就 不买 蒙牛
__label__negative , 这个 世道 想 喝 个 牛奶 也 这 么 悲催 啊 伊利 是 仅次于 蒙牛 的 第二 劣质 牛奶 俺 早 不喝 了 要 么 自己 养 头 牛 吧
__label__negative , 虽然 我 也 很 气愤 已经 很 久 没有 买 蒙牛 了 但是 不得 不想 没有 了 蒙牛 让 伊利 一 家 独 大 怕 是 也 不会 有 什 么 好 结果
__label__negative , 喝 蒙牛 给 你 的 肠子 洗洗 脑 喝 蒙牛 做 三观 端正 人格 完整 的 中国 人 抵制 蒙牛 才 是 正事 不要 买 啊 去 你 妈 蒙牛 去 你 妈 蒙牛 毒 死 一个 不少
__label__negative , 我 再 也 不喝 蒙牛 了 太 恶心 了 我 不想 说 连 续 喝 盒 都 有 凝固 的 沉淀物 已经 打 了 蒙牛null 电话 给 蒙牛 公司 坐等 回复 shit 坑 爹 的 蒙牛 买 了 一 箱 回 来 今天 打开 一 看 瞎眼 了 怎 么 就 少 了 两 瓶 牛奶 这 不就是 欺骗 市民 嘛 无良 的 商 家 质量 差 就 算 了 现在 数量 也 欠缺 蒙牛
__label__negative , 蒙牛 曝 三 聚 腈胺 换 成 伊利 伊利 曝 致癌 换 回 蒙牛 蒙牛 又 篡改 临近 过期 产品 的 生产 日期 又 换 回 伊利 看 来 得 去 香港 给 自己 买 奶粉 了
__label__negative , 什 么 行业 出现 了 所谓 的 国企 就 没有 良性 竞争 这 么 个 玩意 了 自从 成 了 国企 之后 他们 更加 肆无忌惮 了 我 很 疑惑 蒙牛 为什 么 还 没倒闭
__label__negative , 主页君 的 态度 值得 嘉奖 但是 给 你 家 的 机会 不是 只 有 一 次 吧 一 年 之内 好几 次 出事 每 次 都 是 加大 整改 这样 的 企业 死 掉 意义 更 大 其他 的 企业 才 能 警钟长鸣 上面 是 你们 的 人 老百姓 自己 用脚投票 蒙牛 不死 我们 一 天 不会 放弃 抵制
__label__negative , 内地 不是 人 啊 抵制 蒙牛
__label__negative , 宾馆 每天 送 两 袋 奶 糊里糊涂 喝 了 今天 才 发现 是 蒙牛 的 不喝 了
__label__negative , 切糕 坑 钱 蒙牛 坑命
__label__negative , 来 瓶 蒙牛 祸害 一下 自己
__label__negative , 蒙牛 吃 傻 你 啊 make 蛋挞 做 不做 吃 货们 继续 收 福利 啦
__label__negative , 蒙牛 真果 粒 喝 出 腐败 椰果 好 恶心 有 图 为 证
__label__negative , 不转 不行 啊 南航 最 可恶 的 就是 机餐 上 供应 的 是 蒙牛 酸奶
__label__negative , 买 蒙牛 提心吊胆 骂 蒙牛 气 大 伤身 喝 蒙牛 无异 自杀 现在 还 得 操 上 蒙牛 怎 么 花钱 的 心 咱别 这样 了 多 累 啊 大 家 都 不买 不就 得 了 不喝 蒙牛 死 不了 人 的 要 身体 结实 不要 身体 结石 如今 为 了 钱 人 不干 的 他们 都 干 新 浪收 了 蒙牛 的 钱
__label__negative , 就 和 远离 蒙牛 一样 正常人 一定 要 远离
__label__negative , 蒙牛 篡改 牛奶 生产 日期 经理 被 批捕 针对 蒙牛 一经理 篡改 生产 日期 被 抓 一 案 昨日 记者 从 浦江县 公安局 获悉 本月 蒙牛 公司 驻 义 乌经理 王孙富 和 同伙 赵宝峰 因 涉嫌 生产 销售 伪劣 产品 罪 被 浦江县 检察院 批准 逮捕
__label__negative , 一 大 难题 有 监控 机制 怎 么 能 管 不到 建立 总裁 责任制 出 了 事故 总裁 坐牢 就 不会 有 难题 了 坚决 抵制 食品 安全 蒙牛 整 条 产业链 彻底 失控
__label__negative , 再次 提醒 朋友 们 珍惜 生命 远离 路边 摊 远离 路边 小笼 肉包 远离 熟食 远离 蒙牛 为 了 自己 为 了 你 爱 的 人
__label__negative , 父亲 住院 母亲 告诉 俺说 有人 送 了 两 箱 蒙牛 牛奶 俺 急忙 电话 告诉 母亲 倒 掉 然后 告诉 母亲 那 人 和 父亲 关系 肯定 很 不好 理由 是 蒙牛 牛奶 是 慢性 毒药 买 纯 牛奶 买 保质期 比较 短 的 看 口感 看 包装 最 重要 的 是 不要 被 广告 迷惑哦
__label__negative , 自己 贱 蒙牛 出 那 么 多 事 了 你 还 敢 买 不是 自己 贱 吗 我 现在 不喝 也 不会 买 蒙牛 的 东西 了 对 不良 企业 不能 惯 着 可怕 谁 喝 谁 倒霉 二三 线 小 城 的 孩子 净 被 坑 了 今晚 电视台 曝光 蒙牛 高 钙 奶 谁 喝 谁 倒霉
__label__negative , 不喝 酒 不喝 伊利 蒙牛 但 还是 要 受 污染 的 空气 与 水源 但 足协 的 头 都 会 下课 奶业 及 酒业 协会 的 头 不下 来 的 有 因 必 有 果 正常
__label__negative , 转发 一个 我 早 在 三聚 氰胺 出 来 的 时候 就 是 蒙黑 了 我 了 个 去 他 的 生产线 逆天 了 蒙牛 真心 不敢 喝 了 啊
__label__negative , 继续 抵制 国人 不买 日货 岛国 不会 不行 国人 不买 蒙牛 很快 就 不行 了 祸害 少 一个 是 一个
__label__negative , 此 段子 与 老太 逃逸 蒙牛 自 黑 并列 我 心目 中 的 切糕 段子 三 甲
__label__negative , 蒙牛 终于 认清 自己 比 切糕 更 恶劣 的 事实 了 切糕 要 钱 蒙牛 要 命
__label__negative , 这 是 葡萄皮 吗 事实 证明 蒙牛 坑人 无 下限 劣质 到 永远
__label__negative , 抵制 所有 问题 牛奶 伊利 蒙牛 这种 垃圾 企业 不倒 就 没有 天理 了
__label__negative , 我 依然 固执 的 认为 在 蒙牛 被 查处 之前 肯德 基什 么 的 都 是 浮云
__label__negative , 我 来 帮 你 一 把 好 牛 逼 垃圾 蒙牛
__label__negative , 回复 这 公关 太 到位 了 可惜 狼 来 了 太 多次 了 回复 看 你 下面 的 评论 与 其 抵制 日货 不如 抵制 蒙牛
__label__negative , 国航 发 给 的 蒙牛 早餐 太 狠 了 买 打折 机票 的 一个 都 不能 放
__label__negative , 顶 蒙牛 快 点 关门大吉 吧 我 真 的 很 讨厌 蒙牛 啊
__label__negative , 伊利 不给力 要 上 就 上 蒙牛 毒 不死 他 丫 的 幽默
__label__negative , 早上 过 来 的 飞机 肯定 是 被 击落 的 着急 地 穿过 云层 后 突然 一下 砸 在 地面 上 就算 降落 了 还 供应 蒙牛 酸奶 一直 担心 吃 完 会 不会 不适
__label__negative , 好 恶心 啊 又 一个 黑名单 了 蒙牛 又 出 事 了 这 次 数据 更 得 低 喽 不管 真 不真 蒙牛 真心 不能 喝 了
__label__negative , 事实 蒙牛坑 的 人 可 比 切糕 坑人 多 多 了 蒙牛marketing 是 sb
__label__negative , 那 你 喝什 么 伊利 牛奶 永 不喝 蒙牛
__label__negative , 我 投 给 了 quot 王小山 抵制 后 不喝 蒙牛 quot 这个 选项
__label__negative , 太 恶心 啦 蒙牛 的 早就 不喝 了 别 拦 着 我 让 我 把 前年 喝 的 特伦苏 吐 出 来 好 奶 蒙牛 造 营养 高蛋白
__label__negative , 伊利 不行 蒙牛 不行 该 喝什 么 奶 珍爱 远离 几 年 前 一个 在 蒙牛 工作 的 朋友 告诉 我 别 喝 蒙 牛奶 于是 我 从此 没在 喝 过 了 这 么 多 年 一 系列 蒙牛 的 负面 新闻 我 只是 奇怪 为啥 央视 还 在 给 它 继续 做 广告 呢 所以 我 要 感谢 当年 告诉 我 内幕 的 朋友
__label__negative , 我 擦 以后 再 也 不吃 雀巢 的 东西 老 出 问题 跟 蒙牛 一个 尿性
__label__negative , 早就 不喝 蒙牛 了 造假 也 要 有 逻辑 有 体系
__label__negative , 让 她 喝 一个 月 的 过期 奶 看 她 什 么 态度 无耻 蒙牛 总裁 生产 日期 篡改 属 个别 现象 针对 蒙牛 箱 临期 牛奶 生产 日期 被 篡改 事件 蒙牛 总裁 孙伊萍 回应 称 这 一个别 事情 不会 影响 到 蒙牛 的 大局 对于 蒙牛 的 口碑 及 社会 形象 她 表示
__label__negative , 这话 真 有 深意 啊 珍爱 生命 远离 蒙牛 远离 纽崔 莱
__label__negative , 对 这种 丧尽天良 的 企业 比如六 和 kfc 蒙牛 等 不会 又 是 一个 道歉 就 能 解决 问题 了 吧 应该 把 其 负责人 绳之以法 对 企业 课 以 重罚
__label__negative , 国内线 叫 餐木人睹 国际 线 都 以为 是 救灾回 来 的 飞机 今年 宁肯 hk 转 了 次 机 也 不从 bj 做 ca 除 了 蒙牛 牛奶 还有 难以置信 的 难 吃 的 中餐
__label__negative , 完 了 一个 不小心 喝 了 蒙牛 的 酸奶 我 会 不会 有 事 啊
__label__negative , 不舒服 拉 肚子 还 低 烧 我 就 喝 了 瓶 蒙牛 不带 这样 的
__label__negative , 非 得到 了 冬天 才 想 喝 牛奶 蒙牛 的 牛奶 太 难 喝 了 一 股 奶粉 味
__label__negative , 今天 的 酸奶 有 异味 再 也 不买 蒙牛 了 澳洲 的 酸奶 也 太 稠 了
__label__negative , sbsb 抵制 蒙牛
__label__negative , 又 是 蒙牛 再 也 不能 吃 蒙牛 了 蒙牛 的 任何 产品 都 不买 了
__label__negative , 中 粮 还是 算 了 尽 产些 蒙牛 之 流 的 产品 对 人类 未 来不利 啊
__label__negative , 我 日 禁 吧 蒙牛伊利 公关 做 足 了 吧 老子 就 不买 蒙牛 伊利
__label__negative , 擦 亏 我 这 么 相信 蒙牛 幸好 我 一直 只 喝 伊利 太 可恶
__label__negative , 地球 太 可怕 了 连 蒙牛 都 喝 不成 了 早 知道 我 嫁 到 喵星 去
__label__negative , 继续 抵制 蒙牛 换 个 主视 觉 就 切割 负面 形象 了 什 么 路子 啊
__label__negative , 那些 碍国者 们 你们 连 蒙牛 都 不懂 的 抵制 谈 何 抵制 日货
__label__negative , 蒙牛 经理 篡改 产品 日期 被 刑拘
__label__negative , 结论 是 味全 蒙牛 伊利 伊利 买 的 是 抹 茶味 的 太 难 喝 了
__label__negative , 已经 不买 蒙牛 好几 个 月 了 坚持 到 丫 倒闭
__label__negative , 恶心 死 了 蒙牛 恶心 虫子 更 恶心 对 着 虫子 撸 的 最 恶心 我 擦 这 两 天 都 在 喝 这个 再 也 不买 了
__label__negative , 蒙牛 宣布 无条件 回收 箱 生产 日期 篡改 奶 针对 蒙牛 一经理 篡改 生产 日期 被 抓 一 案 昨 viva 畅读
__label__negative , 从 我 做 起 拒绝 蒙牛 我 己 抵制 了 一 年 多 包括 冷饮 在内 的 蒙牛 的 一切 只 可惜 我 的 粉丝 有限 不能 呼吁 更 多 人 只能 先 从 自己 做 起 抵制 抵制 蒙牛 别 喝 拉 喝 了 坑 自己 啊 不知道 没办法 知道 了 就 杜绝 和 这种 人 没话 可 讲
__label__negative , 抵制 蒙牛 我 最 讨厌 蒙牛 的 高官 没有 一点 为 人民 服务 的 意识 这样 的 民族 企业 不要 也 罢 蒙人 的 牛奶
__label__negative , 希望 大 家 不要 购买 蒙牛 和 伊利 的 产品 对 无良 企业 说 不无良 企业 一 错 再 错 屡教不改 还 口口声 说 只 为 点滴 幸福 都 是 扯
